date_time,power,temp
2019-11-02 02:45:00,0.6,-0.0299999993294477
2019-11-02 03:00:00,0.6,-0.0299999993294477
2019-11-02 03:15:00,0.6,-0.0299999993294477
2019-11-02 03:30:00,0.6,-0.0299999993294477
2019-11-02 03:45:00,0.4,-0.0299999993294477
2019-11-02 04:00:00,0.5,0.479999989271164
2019-11-02 04:15:00,0.2,0.479999989271164
2019-11-02 04:30:00,0.7,0.479999989271164
2019-11-02 04:45:00,0.7,0.479999989271164
2019-11-02 05:00:00,0.7,0.479999989271164
2019-11-02 05:15:00,0.6,0.479999989271164
2019-11-02 05:30:00,0.7,0.7349999994039534
2019-11-02 05:45:00,0.5,0.9900000095367428
2019-11-02 06:00:00,0.0,0.9900000095367428
2019-11-02 06:15:00,1.3,0.9900000095367428
2019-11-02 06:30:00,2.1,0.9900000095367428
2019-11-02 06:45:00,2.0,0.9900000095367428
2019-11-02 07:00:00,2.1,1.2450000047683714
2019-11-02 07:15:00,1.9,1.5
2019-11-02 07:30:00,2.3,1.5
2019-11-02 07:45:00,2.3,1.5
2019-11-02 08:00:00,2.2,1.5
2019-11-02 08:15:00,2.4,1.5
2019-11-02 08:30:00,2.0,1.5
2019-11-02 08:45:00,1.9,2.02999997138977
2019-11-02 09:00:00,2.5,2.02999997138977
2019-11-02 09:15:00,2.3,2.02999997138977
2019-11-02 09:30:00,2.0,2.02999997138977
2019-11-02 09:45:00,1.9,2.02999997138977
2019-11-02 10:00:00,2.4,2.294999957084655
2019-11-02 10:15:00,2.3,2.55999994277954
2019-11-02 10:30:00,1.8,2.55999994277954
2019-11-02 10:45:00,2.3,2.55999994277954
2019-11-02 11:00:00,2.0,2.55999994277954
2019-11-02 11:15:00,2.4,2.55999994277954
2019-11-02 11:30:00,2.2,2.55999994277954
2019-11-02 11:45:00,2.3,3.08999991416931
2019-11-02 12:00:00,1.3,3.08999991416931
2019-11-02 12:15:00,1.7,3.08999991416931
2019-11-02 12:30:00,1.7,3.08999991416931
2019-11-02 12:45:00,1.6,3.08999991416931
2019-11-02 13:00:00,1.5,3.08999991416931
2019-11-02 13:15:00,1.6,3.08999991416931
